Title,genre,director,publication date,publisher
Elena,drama,Andrey Zvyagintsev,2011-05-21,
The Wedding Date,romantic comedy,Clare Kilner,2005-01-01,
Revolution,war film,Hugh Hudson,1985-01-01,
Emile Leopold Locque,,,,
Heart Condition,buddy film,James D. Parriott,1990-02-02,
White Sands,crime film,Roger Donaldson,1992-01-01,
K-9,buddy cop film,Rod Daniel,1989-01-01,
The Cave,documentary film,Feras Fayyad,2019-09-05,
Women in Temptation,comedy film,Jiří Vejdělek,2010-03-18,
Jonas Brothers: The 3D Concert Experience,musical film,Bruce Hendricks,2009-02-27,
"Justice, My Foot!",comedy film,Johnnie To,1992-01-01,
Gabriel Migliori,,,,
Gareth Mallory,,,,
General Medrano,,,,
George Michael: A Different Story,documentary film,Southan Morris,2005-02-19,
Gru,,,,
Bernie,,,,
Along the Navajo Trail,Western film,Frank McDonald,1945-09-15,
Amusement,slasher film,John Simpson,2008-10-09,
The Public Eye,crime film,Howard Franklin,1992-01-01,
Susan's Plan,comedy film,John Landis,1998-01-01,
Alexander Geringas,,,,
Camouflage,action film,James Keach,2001-01-09,
Camp 14: Total Control Zone,documentary film,Marc Wiese,2012-08-03,
Armadillo,documentary film,Janus Metz Pedersen,2010-05-16,
Inherit the Wind,,,,
Tatie Danielle,comedy film,Étienne Chatiliez,1990-01-01,
Iron Man's armor (Marvel Cinematic Universe),,,,
Jaime,drama,António-Pedro Vasconcelos,1999-03-30,
Ricochet,crime film,Russell Mulcahy,1991-01-01,
Loverboy,film based on literature,Kevin Bacon,2005-01-01,
Joe Butcher,,,,
Ian Mercer,,,,
José Miguel Wisnik,,,,
Empire of the Wolves,crime film,Chris Nahon,2005-01-01,
Kincade,,,,
Killer Tongue,splatter film,,1996-11-15,
Lupe Lamora,,,,
Leo D'Amato,,,,
Marco Antônio Guimarães,,,,
Markus Belby,,,,
The Dognapper,romantic comedy,Pedro Amorim,2013-10-04,
Mauro Senise,,,,
Canaris,biographical film,Alfred Weidenmann,1954-12-30,
May Day,,,,
Meet Wally Sparks,comedy film,Peter Baldwin,1997-01-16,
Chinese Fireball,,,,
Meu Passado Me Condena,comedy film,Júlia Rezende,2013-10-25,
Milton Krest,,,,
Minha Mãe é uma Peça,comedy film,,2013-06-17,
Miranda Frost,,,,
A Gift to Remember,romance film,Kevin Fair,2017-11-19,
Declaration of War,comedy film,Valérie Donzelli,2011-01-01,
Hum Tum,romantic comedy,Kunal Kohli,2004-05-28,
Treehouse of Horror XXII,,,2011-10-30,
Cannibal,thriller film,Manuel Martín Cuenca,2013-09-06,
Welcome to the Jungle,hard rock,,1987-01-01,
Sleeping Beauty,musical film,Wolfgang Reitherman,1959-01-29,
Nam-Ek,,,,
Necros,,,,
Necrosis,psychological thriller,Jason Stephens,2009-01-01,
Second Name,thriller film,Paco Plaza,2002-11-15,
The Middle of the World,drama,Vicente Amorim,2003-08-11,
Suely in the Sky,drama,Karim Aïnouz,2006-09-03,
The Man Who Copied,comedy film,Jorge Furtado,2003-01-01,
Time and the Wind,war film,Jayme Monjardim Matarazzo,2013-01-01,
Can't Buy Me Love,romantic comedy,Steve Rash,1987-08-14,
Blue Eyes,drama,José Joffily,2009-07-14,
Onaconda Farr,,,,
Oscar Francisco Nascimento,,,,
Artificial Paradises,LGBT-related film,Marcos Prado,2012-01-01,
Pola Ivanova,,,,
"Captain Newman, M.D.",war film,David Miller,1963-12-23,
